Category,Description
IT,S1/7 Open StockV7
IT,S2/7 Open StockV7
IT,S3/7 Open StockV7
IT,S4/7 Open StockV7
IT,S5/7 Open StockV7
IT,New Organisation Request
IT,New Organisation Request
IT,New Organisation Request
IT,New Organisation Request
IT,Any desk
IT,14346 | Rajshree Industries Unit-II | N.A(N.A) | Bug Rectification
HR,Reimbursement
Marketing & Sales,Leave Application
IT,New Organisation Request
IT,New Organisation Request
IT,14360 | VIKRAM FABRICATORS | N.A(N.A) | Ems Instal
Finance,Payment chase up - 28 Feb 23
IT,S5/7 Purchase Bill Sundry MasterV7
IT,S6/7 Open StockV7
IT,S7/7 Open StockV7
IT,S1/7 Shift HandoverV7
IT,S2/7 Shift HandoverV7
IT,S3/7 Shift HandoverV7
IT,S4/7 Shift HandoverV7
IT,S5/7 Shift HandoverV7
IT,S6/7 Shift HandoverV7
IT,S7/7 Shift HandoverV7
Other,"With the help of Gopal, we have to remove the bars"
IT,S1/7 VoucherV7
IT,S2/7 VoucherV7
IT,S3/7 VoucherV7
IT,S4/7 VoucherV7
IT,S5/7 VoucherV7
IT,S6/7 VoucherV7
IT,S7/7 VoucherV7
Other,Ankhir market hardware shop 2 round
Finance,Account file setup
Other,Voucher cd 21
IT,New Organisation Created
IT,New Organisation Created
Marketing & Sales,Track HR Training
Operations,Printer paper 1 packet
IT,Create LoginV7
IT,Touch Pad Not working
Other,Electrical work
Operations,Account file setup
Other,All complaints
HR,Checkout pending 06:45
Marketing & Sales,Data Allocation
IT,14389 | KRISHNA ENTERPRISES | GST Invoice(Module) | Data Rectification
Finance,3B preparation - 15 Mar 23
IT,S1/7 Dispatch Location MasterV7
IT,S2/7 Dispatch Location MasterV7
IT,S3/7 Dispatch Location MasterV7
IT,S4/7 Dispatch Location MasterV7
IT,S5/7 Dispatch Location MasterV7
IT,S6/7 Dispatch Location MasterV7
IT,S7/7 Dispatch Location MasterV7
Operations,5 coffee powder and 1 tea powder
IT,[Sub] Jayem
IT,New Organisation Request
IT,New Organisation Request
IT,14363 | Rajhans Industries | Inward Credit Note(Module) | Bug Rectification
IT,14368 | Agro Engineering Works | N.A(N.A) | General
Other,Modification in Crystal report
IT,S1/7 Supplier ApprovalV7
IT,S2/7 Supplier ApprovalV7
IT,S3/7 Supplier ApprovalV7
IT,S4/7 Supplier ApprovalV7
IT,S5/7 Supplier ApprovalV7
IT,S6/7 Supplier ApprovalV7
IT,S7/7 Supplier ApprovalV7
IT,Laptop cleaning
IT,Cpu cooling paste
IT,14390 | Pooja Metal Processors Pvt Ltd | GST Invoice(Module) | Data Rectification
Marketing & Sales,Demonstration Training
IT,Apk recharge for span
Marketing & Sales,Reel
Marketing & Sales,Reel
Marketing & Sales,Reel
Marketing & Sales,Chetan’s Birthday Post
IT,14391 | JAYEM AUTO INDUSTRIES PVT. LTD.(SEC-6) | Sale Schedule Vs Supply(Report) | Da
Marketing & Sales,Add Followers Trackhr and Hex business
IT,New Organisation Created
Operations,Coffee machine cleaning and reading note - 25 Feb 23
IT,Laptop issue
IT,14397 | Bhupendra Steels Pvt. Ltd. | N.A(N.A) | Ge
IT,14399 | SELF | Dispatch Advice II(Module) | Data Rectification
IT,14400 | JAYEM AUTO INDUSTRIES PVT. LTD. | Purchase OrderV1(Module) | Data Rectificati
IT,[Sub] 14400 | JAYEM AUTO INDUSTRIE
IT,New Organisation Request
IT,New Organisation Request
Operations,Coffee machine cleaning and reading note - 21 Feb 23
IT,14369 | Rajhans Pressings Pvt Ltd | Jobwork (OSP) Ledger(Report) | Bug Rectification
IT,Omega purchase orderv1 print pdf
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
IT,14372 | SWASTIK AUTOMECH PVT. LTD | Product Master Abstract(Report) | Bug Rectificati
IT,[Sub] 14372 | SWASTIK AUTOMECH PVT
Finance,E4 energy solutions
HR,Petty cash
IT,Installation of ERP
IT,14398 | BSL Castings Pvt. Ltd. | Voucher(Module) | Data Rectification
Other,Chairs checked and bad chairs removed new arrange
IT,14401 | BSL Castings Pvt. Ltd. | Voucher(Module) | Data Rectification
IT,New Organisation Created
IT,New Organisation Created
Marketing & Sales,Mock Demo @12pm
IT,Dashboard
Marketing & Sales,Training Of Calls
IT,14365 | Rajhans Pressings Pvt. Ltd. (Unit-II) | GST Invoice II(Module) | Data Rectifi
Finance,Voucher
IT,14367 | SELF | Voucher(Module) | General
HR,Can't check in
IT,S1/7 Profit And Loss A/CV7
IT,S2/7 Profit And Loss A/CV7
IT,S3/7 Profit And Loss A/CV7
IT,S4/7 Profit And Loss A/CV7
IT,S5/7 Profit And Loss A/CV7
IT,S6/7 Profit And Loss A/CV7
IT,S7/7 Profit And Loss A/CV7
IT,S1/7 Sale Bill DefinitionV7
IT,S2/7 Sale Bill DefinitionV7
IT,S3/7 Sale Bill DefinitionV7
IT,S4/7 Sale Bill DefinitionV7
IT,S5/7 Sale Bill DefinitionV7
IT,S6/7 Sale Bill DefinitionV7
IT,S7/7 Sale Bill DefinitionV7
Operations,"Leptop drops ojasvi house sector 28 , 815"
IT,14371 | SELF | Purchase Order(Module) | Bug Rectification
Other,Monthly contribution feb confirmation
IT,New Organisation Created
IT,New Organisation Created
IT,New Organisation Created
IT,New Organisation Created
Operations,Coffee machine cleaning and reading note - 27 Feb 23
IT,New Organisation Created
IT,New Organisation Created
IT,14402 | Omega Bright Steel Pvt Ltd. | Material Reciept(Module) | Data Rectification
IT,14403 | Rajhans Presssings Pvt. Ltd. (Unit-III) |
IT,14405 | Rajhans Industries | N.A(N.A) | License expire
Other,Go get items from sec;15
IT,14407 | Saket Metal Technocraft P. Ltd. | GST Invoice(Module) | Bug Rectification
IT,14405 | Rajhans Industries | N.A(N.A) | License expire
IT,14404 | SELF | GST Invoice(Module) | Data Rectification
Marketing & Sales,Demo @12 Pm
IT,Power Ropes
Miscellaneous,Cheque drop webtech and pooja metal
Training,[Sub] Message sumbit errors
Training,[Sub-4] Message sumbit errors
HR,[Sub] S2/3 IT sub
IT,IT trackhr(2008.21.01)
IT,IT trackhr(2008.22.01)
Training,Ghjgg
Training,Fghv
IT,#Bug - Release 23/09/2020
Operations,Pending points
Operations,Finished good master not opening
Operations,Svarn account master
Operations,Ssspl new report
Planning,Shift to new office by diwali
IT,#Bug - PMT Engineers
Operations,Purchase bill error comp no 4840
Operations,Change the hash control from text box to label
Operations,Release menu for sale billbook trader
Operations,[Sub] S2/4 Hul order 1234
Operations,Purchase order print proc
Operations,6 scripts 2 print files and 1 dll
Operations,Group effective price management purchase
Operations,Gst invoice destination svarn comp no 4857
Operations,2 scripts and 3 prp
Operations,Comp no 4879 rajhans ind tcs
Operations,swasttik for mdu
Operations,Check blank gst upload xls
Operations,Sale return IT
Operations,Job loading rajhans bhatia
Operations,Supercut net sale cost center
Operations,Purchase bill feeding comp no 4898
Operations,8 scripts 2 print files and 2 prp
IT,#Bug - Right Advisors Pvt Ltd
Planning,Chxhhc
Operations,8 scripts 2 print files and 2 prp
Operations,mdu card repair
Marketing & Sales,Bhatia Alloy for wifi connectivity check
Marketing & Sales,Pp7 bsl mdu strokes
Operations,Packing slip print env
Operations,Po amnd item sorting majestic comp no 4865
Operations,Pur order amnd auto sort comp no 4865
Operations,Gross sale mein cost center comp no 4888
Other,Salereturncomplaintregistercheck
Marketing & Sales,Aluflex cheque
Operations,Majestic seats training
IT,Test
IT,Test
Other,Checksalebillbooktrader
Operations,Ajay service purchase bill
Operations,3 scripts for upgrade
IT,Suggestion/Bug Report
IT,#Bug - Hex
IT,laptop pickup l block
Finance,check drop at hdfc bank
IT,[Sub] #Bug - Hex
Training,[Sub] SUB Staged IT
IT,#Bug - Euro Aircon International
Operations,Release one menu
Training,[Sub] S2/3 4
IT,#Bug - Release 23/09/2020
IT,#Bug - UQC Global Certifications
Operations,Upgrade release 5611.5729 on test key 0005
Operations,Required provision of json for e invoicing
Operations,Supercut net sale cost center
IT,Test
IT,hp laptop for. jyoti mam
Operations,Sale register gst comp no 4918
Operations,Bank reconciliation amount comp no 4925
Other,Check script salebillbooktrader
Operations,3 scripts 5 prp for upgrade
Operations,Alloy temper in group effective comp no 4927
IT,test
Operations,Credit note invoice date check self
Operations,Invoice no deletion for wrong entry invoice
Operations,Purchase sch katyal chemical comp no 4924
Operations,rajhans for mdu
Other,System not working
Operations,Challan out print proc
Operations,Challan out print env
Operations,Credit note changes
Operations,Job shade card changes
Operations,Gst upload discuss related to filing date
Operations,Stock reconciliation error in feeding opening
Operations,Grn daybook totalling not coming comp no 4860
IT,#Bug - Euro Aircon International
Operations,Gst deposit voucher value month comp no 4866
Operations,Reject
Operations,Check
Operations,Remove grandtotsl caption from printing
Training,full flow check
Miscellaneous,Red card
Operations,6 scripts 3 print files and 1 prp for upgrade
Operations,guru amardas for training
Other,PC not working
Operations,Required status of sitasingh and karan payment
Operations,Module design documents
IT,Suggestion/Bug Report
IT,#Bug - Hex
IT,Suggestion/Bug Report
IT,#Bug - Hex
Planning,Error debugging checklist
Operations,BSL IT old Database Restore
Operations,Old Planning in New
Training,[Sub-2] 1
Training,[Sub] S2/2 3
IT,#Bug - Release 23/09/2020
IT,#Bug - Release 23/09/2020
Training,Guru Amardev training
Finance,check collect
Operations,TCS amount in json incoice
Operations,Chasing model master import
IT,#Bug - Right Advisors Pvt Ltd
Operations,Refill hand wash
Operations,Jayem voucher cancellation comp no 4873
Training,Sona
Other,sector. 7
Training,taj forging
Training,bsl for mdu
Operations,Grnv2 print proc
Operations,Test purchase order amnd print
Miscellaneous,Sfm front end required along with module name required with icon
Training,Sfm mai har module mai 10 entries karne hai
Operations,Route card status required on mobile app
Operations,Completion of IT Sfm excel sheet complaint
Operations,Bsl Bom import
Operations,4 scripts to upgrade from jyotipc
IT,test
Operations,Database backup for GRNV2
Operations,"8 scripts, 2 prp"
Operations,"Credit note , debit note cist centre comp no 4899"
Operations,Grn v2 print file
IT,#Bug - Promptech Industrial Products
Operations,3 scripts 1 prp
Training,Test due
Training,saphere
Training,jj for training
IT,#Bug - Euro Aircon International
Operations,Add records in GRNV2
IT,Test
Marketing & Sales,7hwhfuef
Training,Shshs
Operations,Improve voucher cancellation for jayem
HR,Shalu
Other,"Feed accountmaster,vendorsuppliermaster"
Operations,"3 scripts, 3 print files"
Training,Error in checkout notification
Training,Reminder test
IT,#Bug - Euro Aircon International
Finance,bhatia for mdu
Operations,Voucher cancellation jayem
Operations,Production center wise machine in production report
Operations,Restrict issue qty against route card
Other,webtech for check
Operations,Expense analysis main misc income comp no 5023
IT,test
Operations,Sir vinesh sir k payment k confirm karne tha n sql server a client k yha ems copy kar
Training,IT
Operations,Rajhans job loading
Operations,Upgrade number 5665.5847 and test key 0003
Training,rajshree
Finance,Tnn
IT,IT
IT,Test
Finance,rajshree for cheq
IT,#Bug - Euro Aircon International
Training,Overdue test
Operations,Material issue v3 print file
Operations,Job order v1 print file
IT,#Bug - Euro Aircon International
IT,#Bug - Euro Aircon International
Miscellaneous,A4 size sheet k packet lana hai cafe se
Operations,Photocopy of documents
Training,IT
IT,Call sshiba in psmetal and ask why usage is down
Operations,Link grn doc qty with grn details all forms
Operations,Link qty with order qty of job order idp
Operations,Record deletion in bhatia alloy routecard
Operations,5 scripts and 1 Emsvb.exe
IT,#Bug - Euro Aircon International
Miscellaneous,Bom of bsl data in excel sheet
Operations,Ppcproductionreportv1 not opening
Operations,Gstn upload
Operations,Purchase order v1 year id not ok
Operations,Json file invoice
Other,bhatia mdu alluminax paymt condor payment
Operations,Call me
IT,Bugs
Training,Remove kuldeep from org
HR,Set a proper profile photo
Operations,sanjay medical
Operations,Purchase order v1 for intalio raw material creator
Miscellaneous,Water tap mai water nahi aa rha hai
Operations,mdu for bhatia
Operations,Scanner changed
Operations,Critical spare part print proc
Operations,marks for cheq
Training,Btwbyw
Planning,G5wjye
Miscellaneous,Motor repair involvment Havells front off
Operations,Bhatia alloy strokes check
Operations,Sahil laptop sfm not working
Operations,"14 scripts, 2 prp, 4 print files"
Operations,Check process validation in machine loading
Operations,Rcm details comp no 4841
Operations,bhatia alloy mdu install
Operations,Match old gst and new gst upload file
IT,Test
IT,test
Operations,Debit note changes
Operations,Window not open on part name in purchaseorderv1
Operations,[Sub-2] S2/4 Hul order 1234
IT,Test
IT,Test
Training,Due date test ticket
Operations,"6 scripts , 1 print file and 1 prp"
Operations,List of machines print proc
IT,S1/2 Test
IT,S2/2 Test
Operations,New upgrade mai nai pta chlta hai h k upgrade hua hai y nai
Operations,Consumable tool master posting
Operations,Add posting in consumable tool master
Miscellaneous,October k bank statement de do sir
Operations,Call priyanka promptech
Operations,Error cannot create a file when that file already exist
IT,Suggestion/Bug Report
IT,#Bug - Hex
IT,Suggestion/Bug Report
IT,#Bug - Hex
IT,Hexteam coming in user details report
Operations,4 scripts 3 print files
Operations,rajhans for training sfm
Operations,Process name change in cold forge
Operations,Sale billbook trader print format
IT,#Bug - Euro Aircon International
IT,Buy monitor mount from sarvee
IT,#Bug - Euro Aircon International
Operations,Machine master linked with purchase order v1
Operations,Refill hand wash
Operations,Check machine master print file
Operations,Check grnv2 print file
Operations,Check bomv4 production center
Operations,Gstn upload changes
Operations,Sale billbook trader print
Other,Feed challanout
Operations,Bhatia Alloy & ColdForge
Planning,IT Excel Tiimeline sheet for Phase 1
Operations,Check and confirm on 2 adapter 1.2mA if Tablet is charging on time
Operations,Rectify BSL Mdu with Suplly issue
Other,Check GrnV2 linking with sparepartindent
Operations,laptop windows lenovo
Operations,Purchase bill saving error comp no 4887
Marketing & Sales,Rajhans Mdu card change
Operations,Inward debit note sundry error comp no 4926
Operations,Job order v1 print proc
Operations,Gst no in jobwork register gst
Operations,"13 scripts , 5 print files and 2 prp"
Operations,Critical spare part print format
IT,test
Operations,Workorder and power app required
Operations,Call sshiba ps metal and take usage update
IT,Suggestion/Bug Report
IT,#Bug - Hex
Other,Resolve dateissue in salereturncomplaintregister
Operations,Close all tickets of kuldeep
Operations,Required blank gst upload file new
Operations,Spare indent print format
Operations,Operator and fixed production center in production report
Operations,Production qty in route card and qty reject in fpqc not ok
Other,unplaned disccussion
HR,Remove kavita and pankaj from your subordinates
Operations,Attendance machine to be shift on to inverter
Operations,Packing slip print
Operations,Sale return IT check
Operations,Vipin print file
Operations,Link machine master in grnv2
Operations,IT Ratings List Filterable Dropdown box
Operations,Material issue points bhatia alloy
IT,test
Logistics,sector 7 for medcn
IT,Increase column length of orggpscoordinates
Operations,Test sale billbook trader after upgrade
Operations,Profiler not run for vipin
Operations,mdu for jyotimam cas3
IT,Test 
Operations,Checkout reversal by manager
Operations,new bsl IT
Operations,MTA procedure name change
IT,Test
IT,Test
IT,Test
Operations,Release menu
IT,Call promptech
Operations,Machine loading submit must be on commit
IT,Trackhr points
IT,Test
IT,Test
Other,Feed Imir
Operations,Check machine loading
Operations,Imir print format proc
Operations,Latest Print files not copy in daljeet sir system folder
Operations,Grnv2 and material receipt v2 not opening from ems 2014 exe
Finance,Tesr
Operations,1 script to upgrade
Operations,Default fwd to in production report
Operations,mdu. for bhatia
Operations,List of machines print format
IT,Test
Training,Token IT Add2
Planning,j6dkd
HR,Set a proper profile photo
IT,#Bug - Encoders India
IT,#Bug - Encoders India
IT,test
Other,Feed challanout
Other,Feed grn
Operations,Jayem mein 57f recon mein doc no nahi aa raha comp no 5128
Operations,Alt qty and unit in material issuev3
Operations,Inspection parameter master print env
Logistics,prompteck for bill
Operations,Production strokes mismatch in case of job end
IT,#Bug - Promptech Industrial Products
Operations,Saac error invoice packing print out
IT,Upgrade db in 111
Operations,bsl mdu fitting. nd IT
IT,Test
Operations,Material receipt alt qty provision
IT,Suggestion/Bug Report
IT,#Bug - Hex BSS
Operations,Material issue alt unit provision
Operations,Require values in docs column also in gstn upload
Miscellaneous,Karwa chauth
HR,Call quest security
IT,Test
Other,Css IT
Training,training IT data feeding with sonaal sir
Operations,Sale sch mein last year ka sch aa raha hain
Operations,Krishna Engineering Database
IT,Call psmetal
Other,uco bank
Operations,Test MTS Case Error found in Rajhans in other DB
Operations,Routecard closure problem + mts rajhans
Operations,elctric work
Operations,mdu memory card. with formating
Operations,Birthday half day
Operations,7 scripts 1 print file
IT,test
IT,Test chat
IT,IT
IT,Dhruv
IT,Tester
Other,Message me if phone rings
IT,[Sub] Check
IT,[Sub] Msg if rings
IT,test
Training,Tesr
Operations,Material issue print proc
Other,sector 7
HR,Set a proper profile photo
IT,Bugs
Operations,bsl for mdu
Operations,bhatia
IT,system rep mini pc laptop lenovo laptop dell
Other,Check grnc2
Operations,Condor gst it adjustment mismatch comp no 5099
Operations,List of new modules developed after joining
Operations,Indent print out
Operations,"19 scripts, 3 prp,7 print files"
Miscellaneous,Photocopy Deep sir documents
Operations,"10 scripts 2 print files, 2 prp"
Operations,Json file invoice proc not ok
Operations,Watermarking with alpha less and diagonal
Operations,7 scripts to upgrade
IT,Test
Operations,Machine loading error rectify and strokes mismatch
Operations,Tool history card repot
Operations,"8 scripts, 2 print files, 4 prp"
HR,Rashmi Hr Activity Check
Training,krishna enterprices
IT,IT
Training,krishna enterprices
IT,[Sub] User removed flow still stuck in loop
Finance,File get returns
Marketing & Sales,S1/2 Call pyush in PNT industries
Marketing & Sales,S2/2 Call pyush in PNT industries
Operations,Internet not working
IT,Bugs
Training,IT
IT,Change db stored procedures and flow
IT,test
Operations,Material receipt app
Operations,Saac hub summary report
Operations,Purchase bill ps metal
Operations,Intalio purchase order
IT,Test
Other,Feed production reportv1
Operations,Gstn upload to be checked on bsl backup
Operations,Intalio job shade card sorting
Operations,Added others column in gstr1
Operations,Remove sum from grand total and tcs column in gstr1
Operations,bsl for mdu pno 7
Operations,3 scripts to upgrade
Finance,Reminder check
Operations,Bomv4 error on insert in details section
IT,#Bug - Euro Aircon International
Operations,rajhans
Operations,Bug Encoders India
Operations,bhatia rajhans
Operations,Consumable tool master link in purchase order v1
Other,Check GrnV2 link with sparepartindent
IT,#Bug - Encoders India
Operations,8 scripts 4 print files 2 prp
Finance,Promptech mai statement mail karne hai
Operations,Deep sir for provision in modules
Operations,Cold forge comp no 5122
IT,Test
IT,Test
Operations,MTA app
Operations,Modify gstr1 for voucher amount
Operations,Saac gst invoice packing mismatch
Other,"Feed toolrectificationmemo,productionreportv1"
IT,Suggestion/Bug Report
IT,#Bug - HEX
Miscellaneous,40 Client List
Operations,rajhans for check
HR,IT reminder
Other,Checking
IT,"IT search by contact number and customerid,add field agent field in both customerenq"
IT,Cleaning hardware
IT,Table structure and search by contact
Operations,Monthly sale register tcs not ok
Operations,Bsl IT strokes
Operations,Rajhans routecard closure
Operations,Bsl gstn upload check
IT,Test
Operations,Routecard closure and mts locking + bom recon
IT,#Bug - Krishna Enterprises
Other,Module drp coding
Operations,Route card closure check
Operations,5 no cafe for drwaing
Operations,hdfc check
IT,Tanishq Laptop
Marketing & Sales,Call vihan garg
Marketing & Sales,Call sshiba psmetals
Training,IT
Operations,Rcm purchase print thik nah aa raha comp no 5025
IT,test
Operations,IT Planning to integrate new database
Training,B3rrb
Operations,Ps metal grn due to purchase ach
Operations,swastik bhatia
Training,rajhans hawk eye
Marketing & Sales,Cash withdrawl
Operations,[Sub] Close all tickets of kuldeep
Operations,Printer installation
IT,external hdd data backup nd data shift
Operations,Check in upgrade inspection parameter master print
Other,Inspection parameter check
Other,Mail script design
Operations,"4 scripts, 3 print files"
Operations,rajhans
Operations,Locking machine loading for new routecard
Operations,Check purchase order v1 intalio in latest upgrade
Operations,Pick documents from CA
IT,Huv
IT,#Bug - Rajhans Pressings
Miscellaneous,Saac backup require 20-21
Operations,Gstn upload manual excel file bsl
Operations,condor for check
IT,IT
Operations,Require closed status on invoice performance tracker
Operations,Arvind 16 jw bill + marks menu
Other,Navneet Goyal report confirmation
Finance,Bank statement 20 Oct to till date and credit card September to till date
IT,Eddhdh
Operations,Purchase bill data not çoming in saac against grnv2
Finance,test duedate
IT,"<i>Italic</i><b>bold</b> <font color=""#ff0000"">red</f>"
IT,"<i>Italic</i><b>bold</b><h3>Big</h3><font color=""#ff0000"">red</font>"
IT,"<i>Italic</i><b>bold</b><h3>Big</h3><font color=""#ff0000"">red</font>"
IT,Table structure filterbale dropdown and dg rating
Training,"<font color=""#e53935"">[Sub] </font>Test"
Training,"<i><font color=""#9E9E9E"">[Sub] </font></i><font color=""#e53935"">[Sub] </font>Test"
Operations,"<font color=""#9E9E9E"" size=""6""><i>[Sub] <i></font></h6>SubTest"
Operations,Clean Desk Put IO card and laptop
Operations,Material issue v3 error while opening
Operations,Test cases module
Operations,rajhans visit
HR,Call arvind
Operations,Follow up UQC Wadhawa
Operations,Inspection parameter master print file
Operations,Photocopy deep sir documents
Logistics,sanjay med 5 no
Operations,Profiler not run for priya
Operations,"7 scripts ,2 prp, 2 print file"
IT,Test
Operations,Hide weight column and weight unit from material issuev3
Operations,"6 scripts, 1 prp in folder 03_11"
Operations,2 scripts 2 print file and 1 prp
IT,Test
IT,Test
Operations,Work order bill rate change comp no 5212
IT,Call vihan garg
Operations,taj fodging to training
IT,Test
Operations,Grnv1 entry shifting to grnv2
Operations,7 scripts 1 print file and hash tool dll
Training,Svarn meeting
Operations,4 scripts 3 print file
Operations,Bsl gstn upload
Operations,jaycee pooja
Operations,6 scripts 2 prp
Operations,Sale return IT date check
Miscellaneous,Upgrade check for folder generation
Operations,Year id for MTA
Operations,Production report print out
Other,Solve qty problem of salereturncomplaintregister
Operations,bsl for mdu
IT,Arvind Vaishali Meeting setup
IT,SFM Closure points Nd Planning
IT,#Bug - Euro Aircon International
Operations,Sale order last order rate
Operations,Sale billbook trader IT
Operations,Release Upgrade number 5695.6885 and test key 0005
IT,#Bug - Euro Aircon International
IT,stop alarm
Operations,Discussion with Aditya ipl in deep sir off
IT,test
IT,Test
Operations,bsl mdu
Operations,Mts app provision
IT,Test
IT,User removed flow still stuck in loop
IT,Test
Operations,Rajhans mts and routecard
Marketing & Sales,Cash withdrawl
Operations,Gst invoice to recompile for shortcut module property
Operations,2 scripts 1 prp
Operations,bhatia for mannual
Operations,Production report app error
Operations,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>test sub"
IT,test
IT,Checking
Operations,Work order bill error
Operations,Purchase order query in serach criteria not going to search on partname and partno
Operations,24 scripts 2 print files
Operations,Visualisation of dpr module
Operations,bsl for wifi nd mdu
Operations,Digital signature in sale billbook trader
Operations,Ajay engg written code for before grid delete
Other,Dpr script
Operations,Yield in routecard closure
Operations,Profit report rc wise part wise
Operations,Material wip stoke with employee @ production centre status
Operations,Finished good master query conversion problem
Operations,Inward debit note sundry table in print file
Operations,Gstdebitnote module error on sundry grid insertion
IT,Test
Operations,Dispatch advice query in before update procedure
Other,IT toggle pop up modal
Operations,Understanding of report making
Operations,Child part master query
Operations,DPR - CANCELLATION AND QTY VALIDATION OPERATION WISE
Operations,Debit note sundry table insertion deletion procedure
Operations,Provision of stock reconciliation store and jobworker from ems vb exe
Operations,Group payment voucher
IT,Submit solution qty add in customer and lead page
Other,2 no dabua
Operations,swastik for mdu
HR,Test Ticket
HR,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>Test Ticket"
Operations,Provision of instrument master in purchase order v1
Operations,List of new modules developed after joining
Operations,Required bomv4 import script file
Other,Priya print file machine master
Operations,[Sub] Attendance machine to be shift on to inverter
Finance,royal tools for check
IT,Test??
IT,test ??
Operations,[Sub] Route card status required on mobile app
HR,Diwali cleaning front office
Operations,Sale order production details comp no 5164
Operations,Saac sale register abstract monthly error
Operations,Grnv2 tab index not working after stock qty
Other,Scrollbar and css of table
Operations,Karvachauth
IT,Test
Operations,call IT behalf rashmi
IT,Tedtt
IT,Test
IT,Trst
Finance,File get returns
Operations,Routecard closure check rajhans
Miscellaneous,Performance chart + sale return IT date error
Operations,Error Test
Operations,sub test
Finance,webtech for cheque
Finance,hdfc bank
Operations,"7 scripts 1 Emsvb.exe, 1 prp, 1 dll"
Operations,After authentication of digital sign error
Operations,"28 scripts, 2 prp, 1 emsvb exe , 1 dll"
Operations,Sale return IT dll
Operations,Ppcproductionreportv1 changes
Operations,Finished good master scarpweight conversion error
Operations,krishna. for mdu
Other,Work order production detail script
Other,IT sene enquiry and other specifications
IT,Leads table toggle and folloupdate
Operations,Rajhans debit reference first voucher
Operations,7 scripts 4 prp
Operations,Alumax dispatch advice problem
Operations,"6 scripts, 1 print file, 1 Emsvb.exe, 1 prp"
IT,test
Operations,Fyfy
IT,test
Other,Print format of Indent
Other,Print format of spare part indent
Finance,hdfc bank
Operations,bsl for mdu work
IT,#Bug - Technowell
Finance,Required accounts ledger report from every client
Operations,Digital signature space problem
Training,hawk eye
Operations,IT FollowUp and Enquiry Management Flow
IT,Test
Operations,Material issuev3 to be done tomorrow as one field to be added in identity section
Operations,Remove msg no 1 and 2 from gstn upload
Operations,"Check material issuev3, material receipt v2, grnv2 in upgrade"
Operations,1 print file to upload in 04_11
IT,#Bug - Promptech Industrial Products
IT,Test
Operations,Gst hsn details modify voucher value
Operations,bsl bhatia rajhans data feeding
Marketing & Sales,Cash withdrawl
IT,Msg if rings
IT,Check
Operations,Test key 0005 upgrade number 5753.6971
Operations,bsl for. mdu checking
Operations,check from arvind
Operations,sec 21b for drawing
HR,Gxgxgxg
Operations,Svhsbs
Operations,Jobwork isp ledger abstract opening column provision
Training,rajhans sfm training
IT,Test : IT's
Operations,Inward credit note print file added sundry table
Operations,Interchange the tab order in route card closure
HR,IT
Operations,Profit loss value report
Operations,Capa Analysis printing file
Operations,"6 scripts ,1 print file"
Operations,Material receipt v2
Operations,Production report rectify formula of qty fwd
IT,#Bug - Encoders India
Miscellaneous,Is PCB ka pata karo if available
Operations,Report monthly creditors outstanding
Operations,Report monthly debtors outstanding
Operations,company account legder
Operations,"12 scripts, 7 print files, 1 emsvb.exe, 3 prp"
IT,IT error solve
IT,Suggestion/Bug Report
IT,#Bug - HEX
Marketing & Sales,Beucnie
Operations,"17 scripts, 4 print file, 5 pro, 1 dll"
Operations,data base check nd s follow up for hawk eye
Operations,krishna server. IT instal. sever driver updates
IT,Status and customerenquiry
Other,Indent and sparepartindentprinting script
IT,Test
Other,"Popup tick icon,cross and edit icon on table"
Operations,Route card status check for negative issue
Miscellaneous,Karwa chauth
IT,Test
Logistics,Goto Krishna EnterPrise Now
Marketing & Sales,Sbysby
Other,Separate css and log out flow
IT,IT alarm
Finance,Attendance sheet
Logistics,Dush
Planning,Chcggx
Operations,Work order billbook linking with new work order
IT,Sbshs
Operations,SubTest
Operations,Voucher cancellation provision for posting only deletion
Operations,Invoice performance chart closure tab
Operations,7 scripts to upgrade
Operations,Workorder billbook edit mode query
Operations,Closed root card showing rej hold and sa field
Operations,Rc status report yield wise rc wise
IT,#Bug - Right Advisors Pvt Ltd
Operations,Fbt digital signature
Operations,Salary sheet lwf
Operations,Approval provision in account master
Operations,IT data base hold. rm. issue check
Operations,follow up. nd. sfm training to bharti psmtl
Operations,IT data base. rm closer by daljit sir
Operations,Profit loss vs sale (calculations) report
IT,IT
